income is <=50k, fnlwgt is 173804, capital-gain is 0, workclass is Private, race is White, hours-per-week is 20, education is Some-college, marital-status is Never-married, occupation is Other-service, relationship is Own-child, capital-loss is 0, native-country is United-states, education-num is 10, sex is Male, age is 20
income is <=50k, capital-gain is 0, occupation is Prof-specialty, age is 33, hours-per-week is 40, education is Some-college, race is White, fnlwgt is 293971, sex is Female, relationship is Not-in-family, capital-loss is 0, workclass is Private, education-num is 10, native-country is United-states, marital-status is Never-married
income is <=50k, capital-gain is 0, sex is Female, occupation is Tech-support, education-num is 10, capital-loss is 0, native-country is United-states, fnlwgt is 129545, workclass is Private, hours-per-week is 20, race is White, relationship is Wife, marital-status is Married-civ-spouse, education is Some-college, age is 36
income is <=50k, native-country is United-states, fnlwgt is 179783, race is White, capital-gain is 0, capital-loss is 0, education-num is 9, hours-per-week is 40, age is 26, occupation is Exec-managerial, marital-status is Never-married, sex is Male, workclass is Private, education is Hs-grad, relationship is Not-in-family
income is <=50k, hours-per-week is 40, workclass is Private, occupation is Craft-repair, native-country is United-states, education-num is 11, sex is Male, race is White, relationship is Husband, capital-gain is 0, education is Assoc-voc, capital-loss is 0, fnlwgt is 182496, age is 46, marital-status is Married-civ-spouse
income is >50k, education-num is 11, sex is Male, hours-per-week is 40, relationship is Husband, education is Assoc-voc, native-country is United-states, occupation is Adm-clerical, race is White, capital-loss is 0, capital-gain is 0, age is 43, marital-status is Married-civ-spouse, fnlwgt is 157778, workclass is Private
income is <=50k, capital-gain is 0, occupation is Protective-serv, hours-per-week is 40, education-num is 9, sex is Male, race is White, marital-status is Never-married, age is 24, capital-loss is 0, education is Hs-grad, fnlwgt is 153976, relationship is Own-child, workclass is Local-gov, native-country is United-states
income is <=50k, occupation is Exec-managerial, native-country is United-states, marital-status is Never-married, fnlwgt is 170278, capital-gain is 0, age is 23, workclass is Private, race is White, education is Some-college, sex is Male, hours-per-week is 45, education-num is 10, capital-loss is 0, relationship is Own-child
income is <=50k, capital-gain is 0, education is Bachelors, occupation is Exec-managerial, workclass is Private, education-num is 13, fnlwgt is 87205, capital-loss is 0, native-country is United-states, sex is Male, relationship is Husband, race is White, marital-status is Married-civ-spouse, hours-per-week is 40, age is 53
income is <=50k, hours-per-week is 40, fnlwgt is 181372, capital-loss is 0, education-num is 7, age is 24, native-country is United-states, education is 11th, sex is Male, capital-gain is 0, workclass is Private, relationship is Own-child, race is White, occupation is Adm-clerical, marital-status is Never-married
income is <=50k, capital-gain is 0, hours-per-week is 40, workclass is Local-gov, native-country is United-states, race is Black, sex is Female, age is 27, relationship is Own-child, education is Bachelors, education-num is 13, fnlwgt is 37781, occupation is Prof-specialty, capital-loss is 0, marital-status is Never-married
