name,elapsed_time,total_sampled,total_processed,total_expected
dp_synth32,1765963642.825188,256,0,32561
dp_synth32,1765963644.4641953,512,0,32561
dp_synth32,1765963646.3120558,768,0,32561
dp_synth32,1765963648.0645366,1024,0,32561
dp_synth32,1765963649.8295922,1280,0,32561
dp_synth32,1765963651.5849528,1536,0,32561
dp_synth32,1765963653.4822555,1792,0,32561
dp_synth32,1765963655.3903458,2048,0,32561
dp_synth32,1765963656.9435859,2304,0,32561
dp_synth32,1765963658.6305377,2560,0,32561
dp_synth32,1765963660.2877054,2816,0,32561
dp_synth32,1765963662.0323594,3072,0,32561
dp_synth32,1765963663.758938,3328,0,32561
dp_synth32,1765963665.5401313,3584,0,32561
dp_synth32,1765963667.1405158,3840,0,32561
dp_synth32,1765963668.7822626,4096,0,32561
dp_synth32,1765963670.4324822,4352,0,32561
dp_synth32,1765963672.0855553,4608,0,32561
dp_synth32,1765963673.7295387,4864,0,32561
dp_synth32,1765963675.4720755,5120,0,32561
dp_synth32,1765963677.2198894,5376,0,32561
dp_synth32,1765963678.8562768,5632,0,32561
dp_synth32,1765963680.906226,5888,0,32561
dp_synth32,1765963682.520037,6144,0,32561
dp_synth32,1765963684.2114575,6400,0,32561
dp_synth32,1765963686.1806576,6656,0,32561
dp_synth32,1765963687.864344,6912,0,32561
dp_synth32,1765963689.5232024,7168,0,32561
dp_synth32,1765963691.2562935,7424,0,32561
dp_synth32,1765963692.877558,7680,0,32561
dp_synth32,1765963694.612608,7936,0,32561
dp_synth32,1765963696.327458,8192,0,32561
dp_synth32,1765963698.0111873,8448,0,32561
dp_synth32,1765963699.9406831,8704,0,32561
dp_synth32,1765963701.6921766,8960,0,32561
dp_synth32,1765963703.2884536,9216,0,32561
dp_synth32,1765963704.9084039,9472,0,32561
dp_synth32,1765963706.7057922,9728,0,32561
dp_synth32,1765963708.4462194,9984,0,32561
dp_synth32,1765963710.135599,10240,0,32561
dp_synth32,1765963711.7986276,10496,0,32561
dp_synth32,1765963713.6701257,10752,0,32561
dp_synth32,1765963715.367799,11008,0,32561
dp_synth32,1765963717.0497246,11264,0,32561
dp_synth32,1765963718.651802,11520,0,32561
dp_synth32,1765963720.2459466,11776,0,32561
dp_synth32,1765963721.9721982,12032,0,32561
dp_synth32,1765963723.841395,12288,0,32561
dp_synth32,1765963725.7246602,12544,0,32561
dp_synth32,1765963727.9045491,12800,0,32561
dp_synth32,1765963730.0113428,13056,0,32561
dp_synth32,1765963731.768112,13312,0,32561
dp_synth32,1765963733.6730793,13568,0,32561
dp_synth32,1765963735.5394132,13824,0,32561
dp_synth32,1765963737.5547605,14080,0,32561
dp_synth32,1765963739.5002563,14336,0,32561
dp_synth32,1765963741.4387505,14592,0,32561
dp_synth32,1765963743.2581654,14848,0,32561
dp_synth32,1765963745.1266906,15104,0,32561
dp_synth32,1765963746.9991996,15360,0,32561
dp_synth32,1765963748.7482963,15616,0,32561
dp_synth32,1765963750.6433978,15872,0,32561
dp_synth32,1765963752.4270184,16128,0,32561
dp_synth32,1765963754.362038,16384,0,32561
dp_synth32,1765963756.22245,16640,0,32561
dp_synth32,1765963758.0804546,16896,0,32561
dp_synth32,1765963759.9947057,17152,0,32561
dp_synth32,1765963761.799209,17408,0,32561
dp_synth32,1765963763.5763643,17664,0,32561
dp_synth32,1765963765.5164256,17920,0,32561
dp_synth32,1765963767.62582,18176,0,32561
dp_synth32,1765963769.4117653,18432,0,32561
dp_synth32,1765963771.3235219,18688,0,32561
dp_synth32,1765963773.3509314,18944,0,32561
dp_synth32,1765963775.0713348,19200,0,32561
dp_synth32,1765963776.9696634,19456,0,32561
dp_synth32,1765963778.843945,19712,0,32561
dp_synth32,1765963780.7362833,19968,0,32561
